"id","state","city","district","h_name","address","pincode","contact","helpline","fax","category","website","email","blood_component","blood_group","service_time","latitude","longitude"
"1","Andaman and Nicobar Islands","NA","Port Blair","G.B Pant Hospital","Atlanta Point","744104","03192 230628","NA","NA","NA","NA","NA","NA","NA","NA","[=12]12","[=93]93"
"2","Andaman and Nicobar Islands","NA","Port Blair","I.N.H.S. Dhanvantri","Minni Bay","744103","03192 248759","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","Andaman and Nicobar Islands","NA","Port Blair","Pillar Health Centre","Junglighat,Lamba Line, P.B. No.526","744103","03192 233193, 03192 233993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","Andhra Pradesh","Gudur","Nellore","A.P.Vidya Vidhana Parishad Community Hospital Blood Bank","Hospital Road","524101","08624 251804","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","Andhra Pradesh","Bhimavaram","West Godavari","A.S.N. Raju Charitable Trust Blood Bank","Door No. 24-1-1, R.K. Plaza (Sarovar Complex), J.P. Road","NA","0886 222558","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","Andhra Pradesh","Eluru","West Godavari","Alluri Sita Rama Raju Acadamy of Medical Sciences Blood Bank","Ground Floor, Hospital Block, NH5","NA","08812 244484","NA","NA","NA","http://asram.isram_hospitals/aboutus.php","NA","NA","NA","NA","NA","NA"
"7","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Anil Neerukunda Hospital Blood Bank","Sangi Valasa, Bheemunipatnam (M)","NA","08933 226961, 08933 226900","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Apollo Hospitals Heart and Kidney Centre Blood Bank","Apollo Hospitals Entps. , 10-50-80, Heart and Kidney Center, 1st Floor, Waltair Main Road","NA","0891 252619, 0891 252622","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","Andhra Pradesh","Proddutur","Kadapa","APVVP Area Hospital Blood Bank","Area Hospital Premises, Ground Floor","NA","08562 253342, 08562 253154","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","Andhra Pradesh","Kadapa","Kadapa","APVVP Area Hospital Blood Bank","Area Hospital Premises, Muddanoor Road, Pulivendla","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11","Andhra Pradesh","Kavali","S.P.S.R Nellore","APVVP Area Hospital Blood Bank","APVVP Area Hospital Blood Bank, Kavali, S.P.S.R Nellore","NA","08626 240167","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","Andhra Pradesh","Madanapally","Chittoor","APVVP Community Hospital","Area Hospital Premises","NA","08572 22087","NA","NA","NA","NA","NA","NA","NA","NA","[=17]17","[=82]82"
"13","Andhra Pradesh","Tenali","Guntur","APVVP District Hospital Blood Bank","Ground Floor, Hospital Premises, Chenchupet","NA","08644 228850","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","Andhra Pradesh","Anakapalle","Visakhapatnam","APVVP NT Rama Rao Vaidyalayam Blood Bank","Poolbagh Road","NA","08924 223340","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","Andhra Pradesh","Nuzvid","Krishna","APVVP, Area Hospital Blood Bank","NA","NA","08674 245040","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","Andhra Pradesh","Amalapuram","East Godavari","Area Hospital Blood Bank","Near Black Bridge, Moberlipeta","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","Andhra Pradesh","Chittoor","Chittoor","Arogyavaram Medical Centre Blood Bank","Ground Floor, D.No. 16-1, Bartons Laboratory, AMC Sanitorium, Arogyavaram","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18","Andhra Pradesh","Visakhapatnam","Visakhapatnam","AS Raja Voluntary Blood Bank","AS Raja Voluntary Blood Bank, D.No. 10-50-11/7, 1st Floor, Virasi Centre, Waltair Main Road","NA","0891 2543436, 0891 5563436","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","Andhra Pradesh","Palakollu","West Godavari","ASN Raju Charitable Trust Blood Bank","H.No. 15-5-4 and 16, I st and II nd Floor, Sri Satya Sai Complex, Bank Street","NA","0886 222558","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","Andhra Pradesh","Tirumala","Chittoor","Aswini Hospital Blood Bank","Ground Floor, Aswini Hospital Premises, TTD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=14]14","[=79]79"
"21","Andhra Pradesh","Ongole","Prakasam","Belif Blood Bank","Sai Complex III Floor, Addanki Bus Stop Centre, Kurnool Road","523002","0859 2222345","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22","Andhra Pradesh","Tenali","Guntur","Best Rotary Blood Bank","D.No. 22-6-54, 1st Floor, Sarojininaidu Sreet, Kothapet","522201","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23","Andhra Pradesh","Vijayawada","Krishna","Bethesda Blood Bank (A Unit of Bethesda Homes Voluntary Organisation)","D.No. 29-10-2, Ground Floor, Narasimharao Naidu Street, Suryaraopet","NA","0866 2435888","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","Andhra Pradesh","Bhimavaram","West Godavari","Bhimavaram Hospitals Limited Blood Bank","64/6A, 6B/7A & 7B, I st Floor, Opp. SRKR Eng. Col., Juvvalapalem Road","NA","08814 221111, 08814 221122, 08814 221133, 08814 221100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25","Andhra Pradesh","Narasaraopet","Guntur","Blessed Blood Bank","D.No. 5-1-45/1, 2nd Floor, Vijaya Hights Building, Palnadu Road","522601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","Andhra Pradesh","Vijayawada","Krishna","Blood Bank Aayush Hospital","Aayush NRI LEPL Health Care Pvt. ., First Floor, D. No. 40-13-3 & 3A, Ring Road, Sri Ramachandra Nagar, Vijayawada","520008","0866 2541414","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
